"PSComputerName","ResourceName","InstanceName","InDesiredState","ConfigurationName","StartDate"
"NADE05BIV02","RegistryAccessEntry","[V-26070][high][Winlogon Registry Permissions]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:20 PM"
"NADE05BIV02","RegistryAccessEntry","[V-32282][high][WINRG-000001 Active Setup\Installed Components Registry Permissions]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:20 PM"
"NADE05BIV02","NTFSAccessEntry","[V-36722][medium][WINAU-000204]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:20 PM"
"NADE05BIV02","NTFSAccessEntry","[V-36723][medium][WINAU-000205]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:20 PM"
"NADE05BIV02","NTFSAccessEntry","[V-36724][medium][WINAU-000206]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:21 PM"
"NADE05BIV02","NTFSAccessEntry","[V-40177.a][medium][WNGE-000007]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:21 PM"
"NADE05BIV02","NTFSAccessEntry","[V-40177.b][medium][WNGE-000007]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:21 PM"
"NADE05BIV02","NTFSAccessEntry","[V-40179][medium][WNGE-000008]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:21 PM"
"NADE05BIV02","NTFSAccessEntry","[V-57721][medium][WINAU-000213]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:21 PM"
"NADE05BIV02","AuditPolicySubcategory","[V-26529][medium][Audit - Credential Validation - Success]::[WindowsServer]BaseLine::[PowerSTIG_MemberServer]PowerSTIG_MemberServer","True","MainConfig","6/7/2019 5:10:21 PM"
